id	node1	label	node2	rank	node2;wikidatatype
Q31-type-item	Q31	type	item		
Q31-label-en	Q31	label	'Belgium'@en		
Q31-P3417-73bf3058-q31$1e3de0f7-f950-4edb-a0ee-a2e0adc64848-0	Q31	P3417	"Belge"	normal	external-id
Q31-P3529-dbfaa93c-q31$85403f10-596c-44df-9839-e1124278bd0b-0	Q31	P3529	+31112Q4917	normal	quantity
Q31-P417-Q128267-q31$9e82d520-40ea-f3f4-e0b0-8e289aab6430-0	Q31	P417	Q128267	normal	wikibase-item
Q31-P998-55845b45-q31$a82caf44-5bb6-41f3-8f52-f6f2f5065e0f-0	Q31	P998	"Regional/Europe/Belgium/"	normal	external-id
Q31-P486-7b83cdef-q31$9eeefc6f-6a35-415b-b371-e96f0fb2ccc5-0	Q31	P486	"D001530"	normal	external-id
Q31-P2959-Q25929919-q31$ed814adf-00e4-4ffa-b3d0-94569b6b4d6b-0	Q31	P2959	Q25929919	normal	wikibase-item
Q31-P2959-Q42311082-q31$aa22c40b-4760-41fc-860f-bd69a3127258-0	Q31	P2959	Q42311082	normal	wikibase-item
Q31-P2959-Q52884026-q31$55f069b7-4e04-4fe8-acfe-b0aab78235a5-0	Q31	P2959	Q52884026	normal	wikibase-item
Q31-P3106-06586dbf-q31$9afca0be-48db-f669-be9d-e650a2041594-0	Q31	P3106	"world/belgium"	normal	external-id
Q31-P122-Q41614-q31$5025dbe0-4325-dd7a-bbed-b0c3311c91f7-0	Q31	P122	Q41614	normal	wikibase-item
Q31-P122-Q3330103-q31$8d69b59b-4918-fd64-60ff-ad483f9ffffe-0	Q31	P122	Q3330103	normal	wikibase-item
Q31-P982-8debeece-q31$17be65e3-1031-4b4a-8178-0ab043b12a5c-0	Q31	P982	"5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc"	normal	external-id
Q31-P1552-Q3174312-q31$85805814-d60d-4793-bcf6-c5ff8e152700-0	Q31	P1552	Q3174312	normal	wikibase-item
Q31-P94-4ecef3b5-q31$116bdba8-fc8e-4457-ae62-4346c4bd9fe0-0	Q31	P94	"Great coat of arms of Belgium.svg"	normal	commonsMedia
Q31-P94-b30159c2-q31$5532e792-494c-f702-0522-ecb99f6c0b40-0	Q31	P94	"State Coat of Arms of Belgium.svg"	preferred	commonsMedia
Q31-P94-2e371913-q31$e0b60e2d-47d1-36db-aa2c-6109eec2b3f3-0	Q31	P94	"Arms of Belgium (with crown).svg"	normal	commonsMedia
Q31-P2981-955cca1c-q31$034f6ac2-490c-3d5a-ba9d-9a0c2d4cbc68-0	Q31	P2981	"B"	normal	external-id
Q31-P2573-753bca1e-q31$44980be7-5644-40fa-9e20-cd8994e3c269-0	Q31	P2573	+8330	preferred	quantity
Q31-P2573-7a9fe262-q31$7c066012-3e5a-4932-b176-2032d9e662ac-0	Q31	P2573	+11357	normal	quantity
Q31-P2573-5092d986-q31$3872c6a0-c656-461f-9714-7e50ca3c2c26-0	Q31	P2573	+12063	normal	quantity
Q31-P2573-40e4677a-q31$f0fc9f58-f54f-40c6-b893-abb694366a6d-0	Q31	P2573	+95560	normal	quantity
Q31-P2573-7379a5e7-q31$c168c1eb-26a5-4ee1-b644-05242f37b9e7-0	Q31	P2573	+97774	normal	quantity
Q31-P3422-5375ab3c-q31$0e8b033b-4e66-41e3-8949-02535b6caaf8-0	Q31	P3422	"99131"	normal	external-id
Q31-P793-Q223933-q31$329d9fd2-4cd1-6abb-3401-c0e647028d1e-0	Q31	P793	Q223933	normal	wikibase-item
Q31-P793-Q1160895-q31$56f34b90-46f6-2d47-0a6a-72938236e884-0	Q31	P793	Q1160895	normal	wikibase-item
Q31-P530-Q32-q31$dd64ede0-eaa1-4221-a637-d6e193ad0958-0	Q31	P530	Q32	normal	wikibase-item
Q31-P530-Q38-q31$2566c5ef-f544-4972-ba72-b4c8ff3223da-0	Q31	P530	Q38	normal	wikibase-item
Q31-P530-Q183-q31$4529569c-d631-4482-ac97-802cb28b20f7-0	Q31	P530	Q183	normal	wikibase-item
Q31-P530-Q347-q31$50772345-7826-47e1-8be1-bf7429a1d3f1-0	Q31	P530	Q347	normal	wikibase-item
Q31-P530-Q408-q31$bea228d9-665d-4c13-862c-9f4f8b466749-0	Q31	P530	Q408	normal	wikibase-item
Q31-P530-Q212-q31$8782ab23-69f5-4631-b9b3-cc1a41fdd825-0	Q31	P530	Q212	normal	wikibase-item
Q31-P530-Q1246-q31$1b969fdb-f647-4a5b-9a87-a094bcfb15e3-0	Q31	P530	Q1246	normal	wikibase-item
Q31-P530-Q142-q31$d1e28025-1c5b-47e6-832a-09192eb83b14-0	Q31	P530	Q142	normal	wikibase-item
Q31-P530-Q145-q31$afa4a86a-826d-48cd-89a8-85852477bd05-0	Q31	P530	Q145	normal	wikibase-item
Q31-P530-Q16-q31$5d79fc2b-d737-4bbf-8999-015490c30576-0	Q31	P530	Q16	normal	wikibase-item
Q31-P530-Q252-q31$0365869f-71c4-41f9-a2e5-132c541a49aa-0	Q31	P530	Q252	normal	wikibase-item
